,Unnamed: 0,SUCURSAL,PERIODO,MES,PROVEEDOR,FOLIO_VENTA,TIPO_VENTA,CANTIDAD_VENTA,TOTAL_VENTA,ULTIMO_COSTO,CODIGO_BARRAS,DTO_CLIENTE,TITULO,TIPO_PRODUCTO,PRECIO_LISTA,COSTO_DEL_DIA_VTA,AUTOR_,DTO_COMERCIAL_,EDITORIAL_,AREA_TEMATICA_,TEMA_,SUBTEMA_,Num_dia_ven,Fecha_ven,N_dia_ven,N_mes_ven,FONDO_180d
56618,70378,SUCURSAL_1,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7351418.0,PISO DE VENTA,1.0,249.0,156.02,9786073153041,0.0,GrafologÃ­a en el amor,LIBRO,249.0,144.42,"CENTENO, MARIA FERNANDA",42.0,AGUILAR,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,26,2022-12-26,Lunes,Diciembre,Fondo
15367,20485,SUCURSAL_1,2022,1,NIRVANA LIBROS SA DE CV,7238763.0,PISO DE VENTA,1.0,259.0,185.0,9788478086085,0.3,"SECRETOS DE LA MENTE MILLONARIA, LOS / 38 ED.",LIBRO,370.0,,"EKER, HARV",50.0,SIRIO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,8,2022-01-08,SÃ¡bado,Enero,Fondo
102177,128904,SUCURSAL_2,2022,2,EDITORIAL OCEANO DE MEXICO SA DE CV,4358039.0,PISO DE VENTA,1.0,105.0,82.8,9788416142040,0.3,"DRAGON DE PAPA, EL / TRILOGIA EL DRAGON DE PAPA 1",LIBRO,150.0,,"STILES GANNETT, RUTH",44.8,OCEANO / TURNER,NIÃOS,NIÃOS,DE 6 A 12 AÃOS,10,2022-02-10,Jueves,Febrero,Fondo
164190,201572,SUCURSAL_4,2022,1,EDITORIAL OCEANO DE MEXICO SA DE CV,869903.0,PISO DE VENTA,1.0,315.0,173.88,9781607386568,0.0,Lidere como Walt,LIBRO,315.0,,"WILLIAMS, PAT",44.8,OCEANO / TALLER DEL EXITO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,17,2022-01-17,Lunes,Enero,Novedad
6198,8046,SUCURSAL_1,2021,1,EDITORIAL OCEANO DE MEXICO SA DE CV,7108592.0,PISO DE VENTA,1.0,495.0,273.24,9786075277851,,"ARTE DE LA SEDUCCION, EL / 3 ED.",LIBRO,495.0,,"GREENE, ROBERT",44.8,OCEANO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,16,2021-01-16,SÃ¡bado,Enero,Fondo
72194,88336,SUCURSAL_5,2022,3,EDITORIAL OCEANO DE MEXICO SA DE CV,670610.0,PISO DE VENTA,1.0,225.0,124.2,9788493727420,0.0,UNA INTRODUCCION BASICA A UN CURSO DE MILAGROS / 2 ED.,LIBRO,225.0,,"WAPNICK, KENNETH",44.8,OCEANO / EL GRANO DE MOSTAZA,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,LITERATURA ESPIRITUAL,16,2022-03-16,MiÃ©rcoles,Marzo,Fondo
138831,173802,SUCURSAL_2,2022,9,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,4413134.0,PISO DE VENTA,1.0,299.0,173.42,9786073801232,0.0,"La luz en la oscuridad. Los agujeros negros, el universo y nosotros",LIBRO,299.0,173.42,"FALCKE, HEINO",42.0,DEBATE,DIVULGACIÃN CIENTÃFICA,CIENCIAS NATURALES,ASTRONOMIA,6,2022-09-06,Martes,Septiembre,Fondo
33080,40469,SUCURSAL_1,2021,11,COLOFON SA DE CV,7219554.0,PISO DE VENTA,1.0,97.5,65.0,9789688671986,0.25,"KYBALION, EL",LIBRO,130.0,,TRES INICIADOS,50.0,COLOFON,ESOTERISMO,ESOTERISMO,ENIGMAS Y CIENCIAS OCULTAS,30,2021-11-30,Martes,Noviembre,Fondo
95591,119514,SUCURSAL_5,2022,7,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,682096.0,PISO DE VENTA,1.0,359.1,243.02,9786073157223,0.1,La magia de ser SofÃ­a,LIBRO,399.0,231.42,"BENAVENT, ELISABET",42.0,SUMA DE LETRAS,LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,1,2022-07-01,Viernes,Julio,Fondo
91779,113888,SUCURSAL_5,2022,9,EDITORIAL PLANETA MEXICANA,690567.0,PISO DE VENTA,1.0,268.0,155.44,9786070769238,0.0,Los Compas y la cÃ¡mara del tiempo,LIBRO,268.0,155.44,TIMBA VK,42.0,MR,NIÃOS,NIÃOS,DE 6 A 12 AÃOS,23,2022-09-23,Viernes,Septiembre,Fondo
58152,72150,SUCURSAL_1,2022,8,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7308965.0,PISO DE VENTA,1.0,159.0,103.82,9786073164559,0.0,Ante el dolor de los demÃ¡s,LIBRO,159.0,92.22,"SONTAG, SUSAN",42.0,DEBOLSILLO,LITERATURA,LITERATURA,ENSAYO LITERARIO,27,2022-08-27,SÃ¡bado,Agosto,Fondo
128727,161154,SUCURSAL_2,2022,11,EDITORIAL PLANETA MEXICANA,4437569.0,PISO DE VENTA,1.0,248.0,143.84,9786070771057,0.0,Escrito en el agua,LIBRO,248.0,143.84,"HAWKINS, PAULA",42.0,BOOKET,LITERATURA,LITERATURA,NOVELA POLICIACA Y DE SUSPENSO,29,2022-11-29,Martes,Noviembre,Fondo
49257,61738,SUCURSAL_1,2022,12,EDITORIAL PLANETA MEXICANA,7347703.0,PISO DE VENTA,1.0,348.0,201.84,9786070780776,0.0,Primera persona del singular / pd.,LIBRO,348.0,201.84,"MURAKAMI, HARUKI",42.0,TUSQUETS,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,19,2022-12-19,Lunes,Diciembre,Fondo
36991,45074,SUCURSAL_1,2022,4,PEARSON EDUCACION DE MEXICO SA DE CV,7271851.0,PISO DE VENTA,1.0,504.0,327.6,9786073246903,0.0,GUIA DE ESTUDIO PARA INGRESAR AL BACHILLERATO (CONAMAT) / 6 ED.,LIBRO,504.0,,"MONTAÃEZ COLIN, ANA LUISA",35.0,CONAMAT (COLEGIO NACIONAL DE MATEMATICAS),"TEXTOS ESCOLARES, UNIVERSITARIOS Y TÃCNICOS",TEXTOS ESCOLARES,SECUNDARIA,17,2022-04-17,Domingo,Abril,Fondo
151128,187692,SUCURSAL_3,2021,9,NIRVANA LIBROS SA DE CV,1982319.0,PISO DE VENTA,1.0,675.0,450.0,9788472455955,0.25,LUZ SOBRE EL YOGA,LIBRO,900.0,,"IYENGAR, B. K. S.",50.0,KAIROS,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SALUD ALTERNATIVA,YOGA,5,2021-09-05,Domingo,Septiembre,Fondo
49754,62322,SUCURSAL_1,2022,11,EDITORIAL PLANETA MEXICANA,7334264.0,PISO DE VENTA,1.0,448.0,259.84,9786070785641,0.0,Una corte de niebla y furia,LIBRO,448.0,259.84,"MAAS, SARAH J.",42.0,PLANETA,JUVENIL,LITERATURA,LITERATURA JUVENIL,9,2022-11-09,MiÃ©rcoles,Noviembre,Fondo
41016,51585,SUCURSAL_1,2021,10,PEARSON EDUCACION DE MEXICO SA DE CV,7201040.0,PISO DE VENTA,1.0,527.0,434.0,9786073245487,0.15,GuÃ­a prÃ¡ctica para el examen de ingreso a la universidad / 5 ed.,LIBRO,620.0,,"MONTAÃEZ COLIN, ANA LUISA",30.0,PEARSON,"TEXTOS ESCOLARES, UNIVERSITARIOS Y TÃCNICOS",TEXTOS ESCOLARES,BACHILLERATO,7,2021-10-07,Jueves,Octubre,Fondo
115957,145915,SUCURSAL_2,2022,1,COLOFON SA DE CV,4347854.0,PISO DE VENTA,1.0,964.0,772.75,9788425426902,0.2,NI HAO. LIBRO DE CURSO 3 (INCLUYE CD),LIBRO,1205.0,,"FREDLEIN, SHUMANG",45.0,HERDER,"TEXTOS ESCOLARES, UNIVERSITARIOS Y TÃCNICOS",OBRAS DE REFERENCIA Y CONSULTA,METODOS DE IDIOMAS,7,2022-01-07,Viernes,Enero,Fondo
120701,151301,SUCURSAL_2,2022,1,PEARSON EDUCACION DE MEXICO SA DE CV,4350103.0,PISO DE VENTA,1.0,620.0,434.0,9786073245487,0.0,GuÃ­a prÃ¡ctica para el examen de ingreso a la universidad / 5 ed.,LIBRO,620.0,,"MONTAÃEZ COLIN, ANA LUISA",30.0,PEARSON,"TEXTOS ESCOLARES, UNIVERSITARIOS Y TÃCNICOS",TEXTOS ESCOLARES,BACHILLERATO,15,2022-01-15,SÃ¡bado,Enero,Fondo
13256,17935,SUCURSAL_1,2021,8,EDITORIAL OCEANO DE MEXICO SA DE CV,7179836.0,PISO DE VENTA,1.0,295.0,162.84,9786075573076,0.0,Almendra,LIBRO,295.0,,"SOHN, WON PYUNG",44.8,OCEANO GRAN TRAVESIA,JUVENIL,LITERATURA,LITERATURA JUVENIL,20,2021-08-20,Viernes,Agosto,Novedad
155871,192790,SUCURSAL_3,2022,7,EDITORIAL PLANETA MEXICANA,2022135.0,PISO DE VENTA,1.0,418.0,201.84,9786070725586,0.0,A todos los chicos de los que me enamore,LIBRO,418.0,242.44,"HAN, JENNY",42.0,DESTINO,JUVENIL,LITERATURA,LITERATURA JUVENIL,30,2022-07-30,SÃ¡bado,Julio,Fondo
167012,204947,SUCURSAL_4,2021,6,EDITORIAL OCEANO DE MEXICO SA DE CV,840832.0,PISO DE VENTA,1.0,495.0,273.24,9786075276915,0.0,"48 LEYES DEL PODER, LAS",LIBRO,495.0,,"GREENE, ROBERT",44.8,OCEANO,"ECONOMÃA, ADMINISTRACIÃN Y FINANZAS",NEGOCIOS Y ADMINISTRACION DE EMPRESAS,LIDERAZGO Y COMPETITIVIDAD,18,2021-06-18,Viernes,Junio,Fondo
102547,129382,SUCURSAL_2,2022,2,EDITORIAL OCEANO DE MEXICO SA DE CV,4361559.0,PISO DE VENTA,1.0,650.0,383.64,9788484458227,0.0,AstrologÃ­a prÃ¡ctica. Utiliza la sabidurÃ­a de las estrellas en tu vida diaria / pd.,LIBRO,650.0,,"TAYLOR, CAROLE",44.8,GAIA EDICIONES,ESOTERISMO,ESOTERISMO,ASTROLOGIA,19,2022-02-19,SÃ¡bado,Febrero,Fondo
73211,89807,SUCURSAL_5,2022,6,EDITORIAL OCEANO DE MEXICO SA DE CV,681954.0,PISO DE VENTA,1.0,310.0,160.08,9786075570983,0.0,"CIELO DE FRANCESCO, EL",LIBRO,310.0,171.12,"GARCIA, YOHANA",44.8,OCEANO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,29,2022-06-29,MiÃ©rcoles,Junio,Fondo
16285,21478,SUCURSAL_1,2022,1,NIRVANA LIBROS SA DE CV,7239334.0,PISO DE VENTA,1.0,231.0,165.0,9788491115236,0.3,Magia islandesa,LIBRO,330.0,,"FLOWERS, STEPHEN E.",50.0,EDICIONES OBELISCO,ESOTERISMO,ESOTERISMO,MAGIA Y BRUJERIA,9,2022-01-09,Domingo,Enero,Fondo
144414,180439,SUCURSAL_3,2022,5,EDITORIAL OCEANO DE MEXICO SA DE CV,2014497.0,PISO DE VENTA,1.0,156.8,124.2,9788415292838,0.44,PENDULOS. GUIA PRACTICA PARA DETECTAR Y USAR LAS ENERGIAS INVISIBLES,LIBRO,280.0,,"ROIG RIBAS, OLGA",44.8,OCEANO / ARKANO BOOKS,ESOTERISMO,ESOTERISMO,ENIGMAS Y CIENCIAS OCULTAS,7,2022-05-07,SÃ¡bado,Mayo,Fondo
150556,187093,SUCURSAL_3,2021,3,NIRVANA LIBROS SA DE CV,1958835.0,PISO DE VENTA,1.0,263.63,185.0,9788417030216,,QUESOS CASEROS SIN LACTEOS,LIBRO,370.0,,MIYOKO SCHINNER,50.0,SIRIO,ENTRETENIMIENTO Y ESTILO DE VIDA,GASTRONOMIA,RECETARIO GENERAL,7,2021-03-07,Domingo,Marzo,Fondo
92870,115478,SUCURSAL_5,2022,7,EDITORIAL PLANETA MEXICANA,684717.0,PISO DE VENTA,1.0,398.0,230.84,9786070781018,0.0,Gardel,LIBRO,398.0,230.84,"PIGNA, FELIPE",42.0,PLANETA,CIENCIAS SOCIALES,HISTORIA,BIOGRAFIAS,26,2022-07-26,Martes,Julio,Fondo
177672,217718,SUCURSAL_4,2022,8,EDITORIAL PLANETA MEXICANA,891298.0,PISO DE VENTA,1.0,358.2,230.84,9786070787447,0.1,El asesinato de SÃ³crates,LIBRO,398.0,230.84,"CHICOT, MARCOS",42.0,BOOKET,LITERATURA,LITERATURA,NOVELA POLICIACA Y DE SUSPENSO,10,2022-08-10,MiÃ©rcoles,Agosto,Novedad
69691,85393,SUCURSAL_1,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7345459.0,PISO DE VENTA,1.0,369.0,214.02,9786073816908,0.0,Lo que no sabe Medea,LIBRO,369.0,214.02,"PADILLA, IGNACIO",42.0,ALFAGUARA,LITERATURA,LITERATURA,AUTORES MEXICANOS,15,2022-12-15,Jueves,Diciembre,Novedad
182743,223990,SUCURSAL_4,2022,7,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,888355.0,PISO DE VENTA,2.0,538.0,156.02,9786073813228,0.0,Falsa liebre,LIBRO,269.0,156.02,"MELCHOR, FERNANDA",42.0,LRH (LITERATURA RANDOM HOUSE),LITERATURA,LITERATURA,AUTORES MEXICANOS,13,2022-07-13,MiÃ©rcoles,Julio,Novedad
61897,76542,SUCURSAL_1,2022,11,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7336857.0,PISO DE VENTA,1.0,279.0,173.42,9786073196123,0.0,Mujeres del alma mÃ­a,LIBRO,279.0,161.82,"ALLENDE, ISABEL",42.0,PLAZA & JANES,CIENCIAS SOCIALES,CIENCIAS SOCIALES,GENERO,18,2022-11-18,Viernes,Noviembre,Fondo
4609,5898,SUCURSAL_1,2021,4,EDITORIAL OCEANO DE MEXICO SA DE CV,7137561.0,PISO DE VENTA,1.0,295.0,162.84,9786075572918,,"Dolor y polÃ­tica. Sentir, pensar y hablar desde el feminismo",LIBRO,295.0,,"LAMAS, MARTA",44.8,OCEANO,CIENCIAS SOCIALES,CIENCIAS SOCIALES,GENERO,15,2021-04-15,Jueves,Abril,Novedad
104205,131567,SUCURSAL_2,2021,2,EDITORIAL OCEANO DE MEXICO SA DE CV,4256746.0,PISO DE VENTA,1.0,495.0,273.24,9786075276915,,"48 LEYES DEL PODER, LAS",LIBRO,495.0,,"GREENE, ROBERT",44.8,OCEANO,"ECONOMÃA, ADMINISTRACIÃN Y FINANZAS",NEGOCIOS Y ADMINISTRACION DE EMPRESAS,LIDERAZGO Y COMPETITIVIDAD,23,2021-02-23,Martes,Febrero,Fondo
151172,187737,SUCURSAL_3,2021,7,NIRVANA LIBROS SA DE CV,1974990.0,PISO DE VENTA,1.0,356.25,250.0,9788472456372,0.2875,GEOPOLITICA Y GEOCULTURA,LIBRO,500.0,,"WALLERSTEIN, IMMANUEL",50.0,KAIROS,CIENCIAS SOCIALES,CIENCIAS SOCIALES,SOCIOLOGIA,18,2021-07-18,Domingo,Julio,Fondo
117583,147784,SUCURSAL_2,2021,4,COLOFON SA DE CV,4269989.0,PISO DE VENTA,1.0,187.5,125.0,9786078563609,,A QUIEN LE IMPORTA EL FUTURO DEL CAMPO MEXICANO. POR UNA VINCULACION ENTRE PROSPECTIVA Y ESTUDIOS RURALES,LIBRO,250.0,,"VALDES COBOS, ALBERTO",50.0,COLOFON,CIENCIAS SOCIALES,CIENCIAS SOCIALES,SOCIOLOGIA,21,2021-04-21,MiÃ©rcoles,Abril,Fondo
42816,53754,SUCURSAL_1,2022,11,EDITORIAL PLANETA MEXICANA,7332881.0,PISO DE VENTA,1.0,99.0,57.42,9786070725678,0.0,"SANGRE ENEMIGA, LA",LIBRO,99.0,57.42,"SPOTA, LUIS",42.0,PLANETA,LITERATURA,LITERATURA,AUTORES MEXICANOS,4,2022-11-04,Viernes,Noviembre,Fondo
57168,71042,SUCURSAL_1,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7341680.0,PISO DE VENTA,1.0,89.0,51.62,9786073159029,0.0,La democracia ausente,LIBRO,89.0,51.62,"BARTRA, ROGER",42.0,DEBOLSILLO,CIENCIAS SOCIALES,CIENCIAS SOCIALES,SOCIOLOGIA,5,2022-12-05,Lunes,Diciembre,Fondo
32666,40003,SUCURSAL_1,2021,12,COLOFON SA DE CV,7234972.0,PISO DE VENTA,1.0,405.0,270.0,9788492649938,0.25,"MUNDO DE AYER, EL. MEMORIAS DE UN EUROPEO",LIBRO,540.0,,"ZWEIG, STEFAN",50.0,ACANTILADO,CIENCIAS SOCIALES,HISTORIA,BIOGRAFIAS,30,2021-12-30,Jueves,Diciembre,Fondo
93477,116412,SUCURSAL_5,2022,8,EDITORIAL PLANETA MEXICANA,686821.0,PISO DE VENTA,1.0,168.0,97.44,9786070789038,0.0,OjalÃ¡,LIBRO,168.0,97.44,"DEFREDS (GOMEZ IGLESIAS, JOSE A.)",42.0,ESPASA,LITERATURA,LITERATURA,POESIA,16,2022-08-16,Martes,Agosto,Novedad
76613,94471,SUCURSAL_5,2021,5,EDITORIAL OCEANO DE MEXICO SA DE CV,631956.0,PISO DE VENTA,1.0,335.0,,9788417127725,,"Abuelo, Â¿me cuentas otro cuento? / pd.",LIBRO,335.0,,"ANTONELLI, ANTONELLA",44.8,GRIBAUDO,NIÃOS,NIÃOS,DE 6 A 12 AÃOS,30,2021-05-30,Domingo,Mayo,Novedad
164038,201400,SUCURSAL_3,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,2039290.0,PISO DE VENTA,1.0,189.0,109.62,9786073820837,0.0,Terapia literaria el libro. Manual de supervivencia para lectores,LIBRO,189.0,109.62,"TRAVA, VALENTINA",42.0,AGUILAR,LITERATURA,LITERATURA,TEORIA Y CRITICA LITERARIA,28,2022-12-28,MiÃ©rcoles,Diciembre,Novedad
20224,26138,SUCURSAL_1,2021,8,NIRVANA LIBROS SA DE CV,7179215.0,PISO DE VENTA,1.0,412.5,275.0,9788472453319,0.25,"LIBRO TIBETANO DE LOS MUERTOS, EL",LIBRO,550.0,,PADMA SAMBHAVA,50.0,KAIROS,HUMANIDADES,RELIGION,DOCTRINAS RELIGIOSAS,19,2021-08-19,Jueves,Agosto,Fondo
73591,90315,SUCURSAL_5,2021,4,EDITORIAL OCEANO DE MEXICO SA DE CV,625095.0,PISO DE VENTA,1.0,330.0,182.16,9781607384267,,"ARTE DE HABLAR EN PUBLICO, EL",LIBRO,330.0,,"CARNEGIE, DALE",44.8,OCEANO / TALLER DEL EXITO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,COMUNICARSE MEJOR,5,2021-04-05,Lunes,Abril,Fondo
17834,23290,SUCURSAL_1,2021,4,NIRVANA LIBROS SA DE CV,7137745.0,PISO DE VENTA,1.0,225.0,150.0,9788496595163,,"LIBRO DE LOS MEDIUMS, EL",LIBRO,300.0,,"KARDEC, ALLAN",50.0,HOJAS DE LUZ,ESOTERISMO,ESOTERISMO,ENIGMAS Y CIENCIAS OCULTAS,15,2021-04-15,Jueves,Abril,Fondo
32784,40130,SUCURSAL_1,2021,12,COLOFON SA DE CV,7220866.0,PISO DE VENTA,1.0,206.25,115.0,9788495776099,0.25,"DIA DE ASUETO DE UN FOTOGRAFO, EL",LIBRO,275.0,,"CARROLL, LEWIS",50.0,MONTESINOS,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,4,2021-12-04,SÃ¡bado,Diciembre,Fondo
153391,190116,SUCURSAL_3,2021,5,COLOFON SA DE CV,1969232.0,PISO DE VENTA,1.0,412.0,283.25,9788425434174,,TOPOLOGIA DE LA VIOLENCIA,LIBRO,515.0,,"HAN, BYUNG CHUL",45.0,HERDER,HUMANIDADES,FILOSOFIA,FILOSOFIA,31,2021-05-31,Lunes,Mayo,Fondo
52637,65655,SUCURSAL_1,2022,12,EDITORIAL PLANETA MEXICANA,7347694.0,PISO DE VENTA,1.0,348.0,201.84,9786070790737,0.0,The Buenos Aires Affair,LIBRO,348.0,201.84,"PUIG, MANUEL",42.0,SEIX BARRAL,LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,19,2022-12-19,Lunes,Diciembre,Novedad
69827,85540,SUCURSAL_1,2022,11,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7337284.0,PISO DE VENTA,1.0,269.0,156.02,9786073820851,0.0,Manual del ciudadano contemporÃ¡neo,LIBRO,269.0,156.02,"ANTAKI, IKRAM",42.0,DEBOLSILLO,CIENCIAS SOCIALES,CIENCIAS SOCIALES,SOCIOLOGIA,20,2022-11-20,Domingo,Noviembre,Novedad
10924,14761,SUCURSAL_1,2021,12,EDITORIAL OCEANO DE MEXICO SA DE CV,7232200.0,PISO DE VENTA,1.0,738.75,543.72,9786075272214,0.25,PAQ. FRANCESCO / 4 VOLS.,LIBRO,985.0,,"GARCIA, YOHANA",44.8,OCEANO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,24,2021-12-24,Viernes,Diciembre,Fondo
22952,29169,SUCURSAL_1,2021,12,NIRVANA LIBROS SA DE CV,7221636.0,PISO DE VENTA,1.0,472.5,315.0,9788499887517,0.25,Cannabis y CBD para la salud y el bienestar,LIBRO,630.0,,"CHIN, JUNELLA",50.0,KAIROS,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SALUD ALTERNATIVA,MEDICINA ALTERNATIVA,5,2021-12-05,Domingo,Diciembre,Fondo
594,731,SUCURSAL_1,2022,5,EDITORIAL OCEANO DE MEXICO SA DE CV,7281330.0,PISO DE VENTA,1.0,485.0,267.72,9788433913920,0.0,"COCINA DE LA ESCRITURA, LA / 23 ED.",LIBRO,485.0,,"CASSANY, DANIEL",44.8,ANAGRAMA,LITERATURA,LINGÃISTICA,REDACCION,22,2022-05-22,Domingo,Mayo,Fondo
1626,1991,SUCURSAL_1,2022,2,EDITORIAL OCEANO DE MEXICO SA DE CV,7247173.0,PISO DE VENTA,1.0,450.0,264.96,9788484454342,0.0,"BIBLIA DE LA WICCA, LA",LIBRO,450.0,,"GALLAGHER, ANN MARIE",44.8,OCEANO / GAIA,ESOTERISMO,ESOTERISMO,MAGIA Y BRUJERIA,1,2022-02-01,Martes,Febrero,Fondo
170683,209273,SUCURSAL_4,2021,10,NIRVANA LIBROS SA DE CV,857512.0,PISO DE VENTA,1.0,300.0,180.0,9788497775458,0.25,ANGELES DE LUZ Y MUNDOS DE CRISTAL / PD.,LIBRO,400.0,,"KLINGER OMENKA, URSULA",50.0,EDICIONES OBELISCO,ESOTERISMO,ESOTERISMO,ANGELOLOGIA,27,2021-10-27,MiÃ©rcoles,Octubre,Fondo
84445,104493,SUCURSAL_5,2021,12,NIRVANA LIBROS SA DE CV,662014.0,PISO DE VENTA,1.0,483.0,345.0,9788478088676,0.3,"TAROT DE LOS MAGOS, EL (ESTUCHE)",LIBRO,690.0,,"KENNER, CORRINE",50.0,SIRIO,ESOTERISMO,ESOTERISMO,ARTES ADIVINATORIAS,31,2021-12-31,Viernes,Diciembre,Fondo
142004,177670,SUCURSAL_2,2022,10,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,4421518.0,PISO DE VENTA,1.0,289.0,167.62,9786073812542,0.0,El libro completamente inofensivo de Black Hat / vol . 1,LIBRO,289.0,167.62,CARTOON NETWORK,42.0,ALTEA INFANTIL,NIÃOS,NIÃOS,FICCION Y TERROR PARA NIÃOS,1,2022-10-01,SÃ¡bado,Octubre,Novedad
141236,176768,SUCURSAL_2,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,4438221.0,PISO DE VENTA,1.0,169.0,98.02,9786073813396,0.0,"Audaz, productivo y feliz",LIBRO,169.0,98.02,"SHARMA, ROBIN S.",42.0,DEBOLSILLO CLAVE,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,2,2022-12-02,Viernes,Diciembre,Fondo
111876,141258,SUCURSAL_2,2021,3,NIRVANA LIBROS SA DE CV,4264227.0,PISO DE VENTA,1.0,277.5,185.0,9788417030803,,AGILIDAD EMOCIONAL. ROMPE TUS BLOQUEOS ABRAZA EL CAMBIO Y TRIUNFA EN EL TRABAJO Y LA VIDA,LIBRO,370.0,,"DAVID, SUSAN",50.0,SIRIO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,23,2021-03-23,Martes,Marzo,Fondo
142869,178651,SUCURSAL_2,2022,10,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,4423081.0,PISO DE VENTA,1.0,299.0,173.42,9786073817998,0.0,Si nuestra piel hablara,LIBRO,299.0,173.42,"HAMBLIN, JAMES",42.0,GRIJALBO,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SALUD ALTERNATIVA,SALUD GENERAL,5,2022-10-05,MiÃ©rcoles,Octubre,Novedad
38250,47288,SUCURSAL_1,2022,11,PEARSON EDUCACION DE MEXICO SA DE CV,7336633.0,PISO DE VENTA,1.0,529.0,343.85,9786073246903,0.0,GUIA DE ESTUDIO PARA INGRESAR AL BACHILLERATO (CONAMAT) / 6 ED.,LIBRO,529.0,343.85,"MONTAÃEZ COLIN, ANA LUISA",35.0,CONAMAT (COLEGIO NACIONAL DE MATEMATICAS),"TEXTOS ESCOLARES, UNIVERSITARIOS Y TÃCNICOS",TEXTOS ESCOLARES,SECUNDARIA,18,2022-11-18,Viernes,Noviembre,Fondo
145705,181856,SUCURSAL_3,2021,5,EDITORIAL OCEANO DE MEXICO SA DE CV,1967188.0,PISO DE VENTA,1.0,250.0,138.0,9786077711353,,Un perro rabioso,LIBRO,250.0,,"MONTIEL FIGUEIRAS, MAURICIO",44.8,OCEANO / TURNER,HUMANIDADES,PSICOLOGIA,PSICOLOGIA GENERAL,15,2021-05-15,SÃ¡bado,Mayo,Novedad
59518,73729,SUCURSAL_1,2022,10,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7326909.0,PISO DE VENTA,1.0,429.0,260.42,9788420437484,0.0,Rayuela,LIBRO,429.0,248.82,"CORTAZAR, JULIO",42.0,REAL ACADEMIA ESPAÃOLA,LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,13,2022-10-13,Jueves,Octubre,Fondo
25066,31443,SUCURSAL_1,2022,3,COLOFON SA DE CV,7258633.0,PISO DE VENTA,1.0,294.0,210.0,9786079711849,0.3,BAJO ESCUCHA. ESTETICA DEL ESPIONAJE,LIBRO,420.0,,"SZENDY, PETER",50.0,CANTA MARES,HUMANIDADES,FILOSOFIA,FILOSOFIA,3,2022-03-03,Jueves,Marzo,Fondo
153179,189871,SUCURSAL_3,2021,4,COLOFON SA DE CV,1965377.0,PISO DE VENTA,1.0,345.0,192.5,9788497165679,,"MAS BELLOS CUENTOS ZEN, LOS / EL ARTE DE LOS HAIKUS",LIBRO,460.0,,"BRUNEL, HENRI",50.0,JOSE J DE OLAÃETA EDITOR,HUMANIDADES,ESOTERISMO,LITERATURA ORIENTAL,30,2021-04-30,Viernes,Abril,Fondo
