,Unnamed: 0,SUCURSAL,PERIODO,MES,PROVEEDOR,FOLIO_VENTA,TIPO_VENTA,CANTIDAD_VENTA,TOTAL_VENTA,ULTIMO_COSTO,CODIGO_BARRAS,DTO_CLIENTE,TITULO,TIPO_PRODUCTO,PRECIO_LISTA,COSTO_DEL_DIA_VTA,AUTOR_,DTO_COMERCIAL_,EDITORIAL_,AREA_TEMATICA_,TEMA_,SUBTEMA_,Num_dia_ven,Fecha_ven,N_dia_ven,N_mes_ven,FONDO_180d
180573,221281,SUCURSAL_4,2022,12,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,904888.0,PISO DE VENTA,1.0,199.0,115.42,9786073179096,0.0,Mujercitas,LIBRO,199.0,115.42,"ALCOTT, LOUISE MAY",42.0,ALFAGUARA INFANTIL,JUVENIL,LITERATURA,LITERATURA JUVENIL,10,2022-12-10,SÃ¡bado,Diciembre,Fondo
131242,164408,SUCURSAL_2,2022,10,EDITORIAL PLANETA MEXICANA,4423510.0,PISO DE VENTA,1.0,398.0,230.84,9786070789700,0.0,La coleccionista,LIBRO,398.0,230.84,"CHRISTOPHER MURRAY, VICTORIA",42.0,PLANETA,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,7,2022-10-07,Viernes,Octubre,Novedad
93846,116924,SUCURSAL_5,2022,10,EDITORIAL PLANETA MEXICANA,693401.0,PISO DE VENTA,1.0,998.0,578.84,9788491749257,0.0,El accidente de caza,LIBRO,998.0,578.84,"CARLSON, DAVID L.",42.0,PLANETA COMIC,LITERATURA ILUSTRADA Y CÃMIC,"ARTES, BELLAS ARTES Y ARTES DECORATIVAS",CARICATURA COMICS Y NOVELA GRAFICA,22,2022-10-22,SÃ¡bado,Octubre,Novedad
178582,218800,SUCURSAL_4,2022,12,EDITORIAL PLANETA MEXICANA,905669.0,PISO DE VENTA,1.0,328.0,190.24,9786070794773,0.0,El reflejo de la bruja,LIBRO,328.0,190.24,"REVELLES, RAIZA",42.0,PLANETA,JUVENIL,LITERATURA,LITERATURA JUVENIL,15,2022-12-15,Jueves,Diciembre,Novedad
74518,91565,SUCURSAL_5,2021,3,EDITORIAL OCEANO DE MEXICO SA DE CV,622398.0,PISO DE VENTA,1.0,290.0,160.08,9786075279039,,"RIO DE LA CONCIENCIA, EL",LIBRO,290.0,,"SACKS, OLIVER",44.8,ANAGRAMA,DIVULGACIÃN CIENTÃFICA,CIENCIAS NATURALES,ENSAYO CIENTIFICO,14,2021-03-14,Domingo,Marzo,Fondo
105850,133705,SUCURSAL_2,2021,8,EDITORIAL OCEANO DE MEXICO SA DE CV,4297219.0,PISO DE VENTA,1.0,195.0,107.64,9788433920171,0.0,DESAYUNO EN TIFFANYS,LIBRO,195.0,,"CAPOTE, TRUMAN",44.8,ANAGRAMA,LITERATURA,LITERATURA,NARRATIVA UNIVERSAL,17,2021-08-17,Martes,Agosto,Fondo
127614,159744,SUCURSAL_2,2022,12,EDITORIAL PLANETA MEXICANA,4444611.0,PISO DE VENTA,1.0,288.0,167.04,9786070756924,0.0,CÃ³mo hacer que te pasen cosas buenas. Entiende tu cerebro gestiona tus emociones mejora tu vida,LIBRO,288.0,167.04,"ROJAS ESTAPE, MARIAN",42.0,DIANA,"DESARROLLO PERSONAL, SALUD Y BIENESTAR",SUPERACION PERSONAL Y AUTOAYUDA,AUTOAYUDA,21,2022-12-21,MiÃ©rcoles,Diciembre,Fondo
60690,75099,SUCURSAL_1,2022,11,PENGUIN RANDOM HOUSE GRUPO EDITORIAL,7338274.0,PISO DE VENTA,1.0,289.0,179.22,9786073188159,0.0,No son micro machismos cotidianos,LIBRO,289.0,167.62,"GARZA, CLAUDIA DE LA",42.0,GRIJALBO,CIENCIAS SOCIALES,CIENCIAS SOCIALES,GENERO,23,2022-11-23,MiÃ©rcoles,Noviembre,Fondo
130795,163836,SUCURSAL_2,2022,12,EDITORIAL PLANETA MEXICANA,4440581.0,PISO DE VENTA,1.0,348.0,201.84,9786070786259,0.0,El peligro de estar cuerda,LIBRO,348.0,201.84,"MONTERO, ROSA",42.0,SEIX BARRAL,LITERATURA,LITERATURA,NARRATIVA IBEROAMERICANA,10,2022-12-10,SÃ¡bado,Diciembre,Fondo
104162,131501,SUCURSAL_2,2021,4,EDITORIAL OCEANO DE MEXICO SA DE CV,4270820.0,PISO DE VENTA,1.0,295.0,162.84,9788412017878,,FORMA FRENTE A CONTENIDO. SEXO Y DINERO,LIBRO,295.0,,"WAPNICK, KENNETH",44.8,OCEANO / EL GRANO DE MOSTAZA,ESOTERISMO,ESOTERISMO,ENIGMAS Y CIENCIAS OCULTAS,25,2021-04-25,Domingo,Abril,Fondo
